timestamp_actual,operation,operationCount
2015-09-18 21:00:00.000,scroll_down,4866
2015-09-18 23:46:40.000,target_clicked,26
2015-09-18 23:46:40.000,scroll_down,2043
2015-09-18 23:46:40.000,select,5
2015-09-18 23:46:40.000,scroll_up,483
2015-09-19 02:33:20.000,target_clicked,41
2015-09-19 02:33:20.000,select,5
2015-09-19 02:33:20.000,scroll_up,440
2015-09-19 02:33:20.000,scroll_down,1989
2015-09-19 05:20:00.000,scroll_up,61
2015-09-19 05:20:00.000,select,1
2015-09-19 05:20:00.000,target_clicked,7
2015-09-19 05:20:00.000,scroll_down,297
2015-09-20 23:00:00.000,target_clicked,5
2015-09-20 23:00:00.000,scroll_down,421
2015-09-20 23:00:00.000,scroll_up,144
2015-09-21 04:33:20.000,scroll_down,230
2015-09-21 04:33:20.000,scroll_up,107
2015-09-21 07:20:00.000,select,2
2015-09-21 07:20:00.000,scroll_down,48
2015-09-21 07:20:00.000,target_clicked,2
2015-09-21 21:13:20.000,scroll_up,45
2015-09-21 21:13:20.000,scroll_down,291
2015-09-22 05:33:20.000,scroll_up,494
2015-09-22 05:33:20.000,select,37
2015-09-22 05:33:20.000,target_clicked,56
2015-09-22 05:33:20.000,scroll_down,2196
2015-09-22 08:20:00.000,scroll_down,1009
2015-09-22 08:20:00.000,target_clicked,6
2015-09-22 08:20:00.000,scroll_up,87
2015-09-22 11:06:40.000,scroll_up,5
2015-09-22 11:06:40.000,scroll_down,57
2015-09-22 13:53:20.000,scroll_down,42
2015-09-22 13:53:20.000,scroll_up,1
2015-09-22 19:26:40.000,scroll_up,483
2015-09-22 19:26:40.000,scroll_down,2224
2015-09-22 22:13:20.000,scroll_down,277
2015-09-22 22:13:20.000,target_clicked,1
2015-09-22 22:13:20.000,scroll_up,84
2015-09-23 01:00:00.000,scroll_up,2
2015-09-23 01:00:00.000,scroll_down,266
2015-09-23 01:00:00.000,target_clicked,1
2015-09-23 03:46:40.000,scroll_up,1
2015-09-23 03:46:40.000,scroll_down,237
